,,,,,Gecode,Gurobi
,,,,,Initial,Initial
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,time,160.0,320.0
1,2,first_fail,indomain_split_random,time,110.0,200.0
1,3,first_fail,indomain_split_random,time,110.0,230.0
1,4,first_fail,indomain_split_random,time,110.0,180.0
1,5,first_fail,indomain_split_random,time,100.0,170.0
2,1,first_fail,indomain_split_random,time,130.0,300.0
2,2,first_fail,indomain_split_random,time,100.0,230.0
2,3,first_fail,indomain_split_random,time,120.0,230.0
2,4,first_fail,indomain_split_random,time,120.0,170.0
2,5,first_fail,indomain_split_random,time,110.0,170.0
3,1,first_fail,indomain_split_random,time,170.0,380.0
3,2,first_fail,indomain_split_random,time,110.0,200.0
3,3,first_fail,indomain_split_random,time,110.0,230.0
3,4,first_fail,indomain_split_random,time,100.0,170.0
3,5,first_fail,indomain_split_random,time,100.0,170.0
