,,,,,Optimistic,Gecode,Gurobi
,,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,,,obj,1237058.0,,
1,1,,,time,0.001578802002768498,,
1,1,first_fail,indomain_split_random,obj,,1237058.0,1237058.0
1,1,first_fail,indomain_split_random,time,,160.0,180.0
1,2,,,obj,2197720.0,,
1,2,,,time,0.002814248997310642,,
1,2,first_fail,indomain_split_random,obj,,2197720.0,2197720.0
1,2,first_fail,indomain_split_random,time,,90.0,170.0
1,3,,,obj,1658826.0,,
1,3,,,time,0.003825344996585045,,
1,3,first_fail,indomain_split_random,obj,,1658826.0,1658826.0
1,3,first_fail,indomain_split_random,time,,100.0,170.0
2,1,,,obj,1202802.0,,
2,1,,,time,0.0016629829988232814,,
2,1,first_fail,indomain_split_random,obj,,1202802.0,1202802.0
2,1,first_fail,indomain_split_random,time,,80.0,130.0
2,2,,,obj,2084940.0,,
2,2,,,time,0.0029982810010551475,,
2,2,first_fail,indomain_split_random,obj,,2084940.0,2084940.0
2,2,first_fail,indomain_split_random,time,,90.0,160.0
2,3,,,obj,1605704.0,,
2,3,,,time,0.003583133002393879,,
2,3,first_fail,indomain_split_random,obj,,1605704.0,1605704.0
2,3,first_fail,indomain_split_random,time,,90.0,140.0
3,1,,,obj,1088104.0,,
3,1,,,time,0.001617806003196165,,
3,1,first_fail,indomain_split_random,obj,,1088104.0,1088104.0
3,1,first_fail,indomain_split_random,time,,80.0,130.0
3,2,,,obj,1901220.0,,
3,2,,,time,0.003996101004304364,,
3,2,first_fail,indomain_split_random,obj,,1901220.0,1901220.0
3,2,first_fail,indomain_split_random,time,,100.0,170.0
3,3,,,obj,1356577.0,,
3,3,,,time,0.001664152994635515,,
3,3,first_fail,indomain_split_random,obj,,1356577.0,1356577.0
3,3,first_fail,indomain_split_random,time,,100.0,150.0
