,,,,,Gecode,OGSA
,,,,,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,
1,1,first_fail,indomain_split_random,obj,2352740.0,2352740.0
1,1,first_fail,indomain_split_random,time,100.0,0.00017196500039062812
1,2,first_fail,indomain_split_random,obj,1038160.0,1038160.0
1,2,first_fail,indomain_split_random,time,80.0,0.00024743599988141796
1,3,first_fail,indomain_split_random,obj,487155.0,487155.0
1,3,first_fail,indomain_split_random,time,100.0,0.0001316739999310812
1,4,first_fail,indomain_split_random,obj,1998235.0,1998235.0
1,4,first_fail,indomain_split_random,time,120.0,0.00024228599977504928
1,5,first_fail,indomain_split_random,obj,2197475.0,2197475.0
1,5,first_fail,indomain_split_random,time,90.0,0.00024244999985967297
1,6,first_fail,indomain_split_random,obj,2251688.0,2251688.0
1,6,first_fail,indomain_split_random,time,90.0,0.00030359199990925845
1,7,first_fail,indomain_split_random,obj,1781704.0,1781704.0
1,7,first_fail,indomain_split_random,time,80.0,0.00022081699989939807
1,8,first_fail,indomain_split_random,obj,740063.0,740063.0
1,8,first_fail,indomain_split_random,time,80.0,0.00022537199993166723
1,9,first_fail,indomain_split_random,obj,3155338.0,3155338.0
1,9,first_fail,indomain_split_random,time,90.0,0.00030147300003591226
1,10,first_fail,indomain_split_random,obj,1557425.0,1557425.0
1,10,first_fail,indomain_split_random,time,90.0,0.0006202150002536655
1,11,first_fail,indomain_split_random,obj,3099600.0,3099600.0
1,11,first_fail,indomain_split_random,time,80.0,0.0004882100001850631
1,12,first_fail,indomain_split_random,obj,1989480.0,1989480.0
1,12,first_fail,indomain_split_random,time,90.0,0.00024174600002879743
1,13,first_fail,indomain_split_random,obj,3663650.0,3663650.0
1,13,first_fail,indomain_split_random,time,90.0,0.0002264380000269739
1,14,first_fail,indomain_split_random,obj,1635870.0,1635870.0
1,14,first_fail,indomain_split_random,time,120.0,0.0001680369996392983
1,15,first_fail,indomain_split_random,obj,833130.0,833130.0
1,15,first_fail,indomain_split_random,time,90.0,0.0001757109998834494
1,16,first_fail,indomain_split_random,obj,3390350.0,3390350.0
1,16,first_fail,indomain_split_random,time,130.0,0.00023521200000686804
1,17,first_fail,indomain_split_random,obj,3346800.0,3346800.0
1,17,first_fail,indomain_split_random,time,90.0,0.0002814909998960502
1,18,first_fail,indomain_split_random,obj,1843164.0,1843164.0
1,18,first_fail,indomain_split_random,time,90.0,0.00024276500016640057
1,19,first_fail,indomain_split_random,obj,2376570.0,2376570.0
1,19,first_fail,indomain_split_random,time,90.0,0.00024057500013441313
1,20,first_fail,indomain_split_random,obj,1240900.0,1240900.0
1,20,first_fail,indomain_split_random,time,90.0,0.00022183100008987822
1,21,first_fail,indomain_split_random,obj,1339565.0,1339565.0
1,21,first_fail,indomain_split_random,time,90.0,0.0002469189998919319
1,22,first_fail,indomain_split_random,obj,1325803.0,1325803.0
1,22,first_fail,indomain_split_random,time,80.0,0.00026015699995696195
1,23,first_fail,indomain_split_random,obj,620110.0,620110.0
1,23,first_fail,indomain_split_random,time,90.0,0.00035454399994705454
1,24,first_fail,indomain_split_random,obj,1492500.0,1492500.0
1,24,first_fail,indomain_split_random,time,90.0,0.0002619470001263835
1,25,first_fail,indomain_split_random,obj,5625645.0,5625645.0
1,25,first_fail,indomain_split_random,time,90.0,0.00023214800012283376
1,26,first_fail,indomain_split_random,obj,2463026.0,2463026.0
1,26,first_fail,indomain_split_random,time,80.0,0.0002503949999663746
1,27,first_fail,indomain_split_random,obj,7644500.0,7644500.0
1,27,first_fail,indomain_split_random,time,100.0,0.0002310110003236332
1,28,first_fail,indomain_split_random,obj,1649384.0,1649384.0
1,28,first_fail,indomain_split_random,time,100.0,0.0002063450001514866
1,29,first_fail,indomain_split_random,obj,361970.0,361970.0
1,29,first_fail,indomain_split_random,time,80.0,0.00020653899991884828
1,30,first_fail,indomain_split_random,obj,2097615.0,2097615.0
1,30,first_fail,indomain_split_random,time,100.0,0.00024019099964789348
2,1,first_fail,indomain_split_random,obj,2269256.0,2269256.0
2,1,first_fail,indomain_split_random,time,100.0,0.00019955800007664948
2,2,first_fail,indomain_split_random,obj,944420.0,944420.0
2,2,first_fail,indomain_split_random,time,80.0,0.00019619300019257935
2,3,first_fail,indomain_split_random,obj,478267.0,478267.0
2,3,first_fail,indomain_split_random,time,110.0,0.00015205299996523536
2,4,first_fail,indomain_split_random,obj,1817975.0,1817975.0
2,4,first_fail,indomain_split_random,time,110.0,0.00026405799962958554
2,5,first_fail,indomain_split_random,obj,2194255.0,2194255.0
