,,,,,Gecode,Preferred,OGSA
,,,,,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,
1,1,input_order,indomain_min,obj,1754765.0,960815.0,1754765.0
1,1,input_order,indomain_min,time,110.0,,0.0002316290010639932
1,2,input_order,indomain_min,obj,100749525.0,429246.0,100749525.0
1,2,input_order,indomain_min,time,90.0,,0.00027398199927120004
1,3,input_order,indomain_min,obj,184215.0,193500.0,184215.0
1,3,input_order,indomain_min,time,90.0,,0.00034825799957616255
1,4,input_order,indomain_min,obj,1137525.0,673245.0,1137525.0
1,4,input_order,indomain_min,time,100.0,,0.00019405500097491313
1,5,input_order,indomain_min,obj,371138.0,161138.0,371138.0
1,5,input_order,indomain_min,time,90.0,,0.0002362710001762025
1,6,input_order,indomain_min,obj,2031812.0,1421804.0,2031812.0
1,6,input_order,indomain_min,time,90.0,,0.0002961840000352822
1,7,input_order,indomain_min,obj,2920600.0,3346700.0,2920600.0
1,7,input_order,indomain_min,time,90.0,,0.00018117099898518063
1,8,input_order,indomain_min,obj,620210.0,505860.0,620210.0
1,8,input_order,indomain_min,time,100.0,,0.0002088129986077547
1,9,input_order,indomain_min,obj,1564340.0,1386340.0,1564340.0
1,9,input_order,indomain_min,time,80.0,,0.00029855499997211155
1,10,input_order,indomain_min,obj,1479131.0,1108246.0,1479131.0
1,10,input_order,indomain_min,time,100.0,,0.0002541409994591959
2,1,input_order,indomain_min,obj,1698010.0,677960.0,1698010.0
2,1,input_order,indomain_min,time,90.0,,0.0004780590006703278
2,2,input_order,indomain_min,obj,100740521.0,470522.0,100740521.0
2,2,input_order,indomain_min,time,80.0,,0.0005539949997910298
2,3,input_order,indomain_min,obj,179675.0,186390.0,179675.0
2,3,input_order,indomain_min,time,90.0,,0.0006130089986982057
2,4,input_order,indomain_min,obj,1145808.0,658348.0,1145808.0
2,4,input_order,indomain_min,time,90.0,,0.00019945500025642104
2,5,input_order,indomain_min,obj,362914.0,150514.0,362914.0
2,5,input_order,indomain_min,time,90.0,,0.0005209400005696807
2,6,input_order,indomain_min,obj,1868500.0,1417212.0,1868500.0
2,6,input_order,indomain_min,time,80.0,,0.0003160319993185112
