,,,,,Gecode,Gurobi,Gecode,Gurobi,Preferred,OGSA
,,,,,Initial,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,
1,1,input_order,indomain_min,obj,1959236.0,1959236.0,1961036.0,1961036.0,1401058.0,1961036.0
1,1,input_order,indomain_min,time,120.0,270.0,110.0,250.0,,0.00024082699928840157
1,2,input_order,indomain_min,obj,3562863.0,3562863.0,3835008.0,3835008.0,9441776.0,3835008.0
1,2,input_order,indomain_min,time,100.0,360.0,90.0,180.0,,0.00041356600013386924
1,3,input_order,indomain_min,obj,433037.0,293810.0,531318.0,531318.0,156198.0,531318.0
1,3,input_order,indomain_min,time,110.0,190.0,90.0,140.0,,0.00021058699894638266
1,4,input_order,indomain_min,obj,1732320.0,1732320.0,1808520.0,1808520.0,1694520.0,1808520.0
1,4,input_order,indomain_min,time,100.0,170.0,100.0,130.0,,0.00033572400025150273
1,5,input_order,indomain_min,obj,2978860.0,2978860.0,3953580.0,3953580.0,2906968.0,3953580.0
1,5,input_order,indomain_min,time,100.0,250.0,90.0,190.0,,0.0003105300002061995
2,1,input_order,indomain_min,obj,1923940.0,1923940.0,1923940.0,1923940.0,1361544.0,1923940.0
2,1,input_order,indomain_min,time,130.0,220.0,100.0,170.0,,0.000480495998999686
2,2,input_order,indomain_min,obj,3364268.0,3364268.0,103610784.0,103610784.0,8245701.0,103610784.0
2,2,input_order,indomain_min,time,110.0,270.0,90.0,170.0,,0.0004723029996966943
2,3,input_order,indomain_min,obj,421969.0,277069.0,511214.0,511214.0,143978.0,511214.0
2,3,input_order,indomain_min,time,100.0,190.0,100.0,140.0,,0.0002730310006882064
2,4,input_order,indomain_min,obj,1681680.0,1681680.0,1690380.0,1690380.0,1591980.0,1690380.0
2,4,input_order,indomain_min,time,110.0,190.0,90.0,140.0,,0.0002192150004702853
2,5,input_order,indomain_min,obj,2805476.0,2805476.0,3931688.0,3931688.0,2861984.0,3931688.0
2,5,input_order,indomain_min,time,100.0,240.0,80.0,180.0,,0.0003880240001308266
3,1,input_order,indomain_min,obj,1820624.0,1820624.0,1820624.0,1820624.0,1259316.0,1820624.0
3,1,input_order,indomain_min,time,110.0,200.0,90.0,170.0,,0.00025768599880393595
3,2,input_order,indomain_min,obj,3048335.0,3048335.0,103046769.0,103046769.0,3130805.0,103046769.0
3,2,input_order,indomain_min,time,120.0,260.0,90.0,180.0,,0.0005187429997022264
3,3,input_order,indomain_min,obj,413004.0,265128.0,485754.0,485754.0,133344.0,485754.0
3,3,input_order,indomain_min,time,100.0,190.0,90.0,140.0,,0.00023670399968978018
3,4,input_order,indomain_min,obj,1505190.0,1505190.0,1533990.0,1533990.0,1472190.0,1533990.0
3,4,input_order,indomain_min,time,110.0,180.0,90.0,130.0,,0.0002038510010606842
3,5,input_order,indomain_min,obj,2646184.0,2646184.0,3696768.0,3696768.0,2598368.0,3696768.0
3,5,input_order,indomain_min,time,100.0,200.0,90.0,170.0,,0.00039798500074539334
4,1,input_order,indomain_min,obj,1835566.0,1835566.0,1882382.0,1882382.0,1368864.0,1882382.0
4,1,input_order,indomain_min,time,110.0,220.0,100.0,160.0,,0.00028000600104860496
4,2,input_order,indomain_min,obj,2995673.0,2995673.0,103173339.0,103173339.0,3330593.0,103173339.0
4,2,input_order,indomain_min,time,110.0,290.0,90.0,170.0,,0.0004714110000350047
4,3,input_order,indomain_min,obj,406346.0,257633.0,495582.0,495582.0,125556.0,495582.0
4,3,input_order,indomain_min,time,100.0,190.0,90.0,140.0,,0.00023314699865295552
4,4,input_order,indomain_min,obj,1537100.0,1537100.0,1540700.0,1540700.0,1454300.0,1540700.0
4,4,input_order,indomain_min,time,110.0,240.0,100.0,130.0,,0.00023857199994381517
4,5,input_order,indomain_min,obj,2531228.0,2531228.0,3654004.0,3654004.0,2678844.0,3654004.0
4,5,input_order,indomain_min,time,100.0,220.0,90.0,290.0,,0.0003904209988832008
