Month,House,Attribute,0,1,2,3,4
0,0,demands,1200,8,1200,1200,300
0,0,durations,4,6,4,4,3
0,0,preferred_starts,112,45,110,80,73
0,0,earliest_starts,0,0,0,0,0
0,0,latest_ends,0,0,0,0,0
0,0,predecessors,1,-1,-1,-1,-1
0,0,successors,4,-1,-1,-1,-1
0,0,prec_delays,1,-1,-1,-1,-1
1,1,astart - ogsa,18,15,15,19,18
1,1,astart - optimised,16,16,16,16,22
2,1,astart - ogsa,6,6,6,6,7
2,1,astart - optimised,7,1,7,7,7
0,1,demands,120,15,5000,6000,1100
0,1,durations,4,3,2,6,5
0,1,preferred_starts,8,93,133,133,61
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,0,0,0,9000,0
0,1,predecessors,1,-1,-1,-1,-1
0,1,successors,2,-1,-1,-1,-1
0,1,prec_delays,134,-1,-1,-1,-1
1,2,astart - ogsa,20,21,15,132,17
1,2,astart - optimised,16,16,19,133,16
2,2,astart - ogsa,6,6,6,132,6
2,2,astart - optimised,7,5,8,133,7
0,2,demands,8,4000,1200,1500,90
0,2,durations,1,3,1,1,4
0,2,preferred_starts,47,25,66,25,129
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,0,0,0,0,0
0,2,predecessors,0,-1,-1,-1,-1
0,2,successors,2,-1,-1,-1,-1
0,2,prec_delays,48,-1,-1,-1,-1
1,3,astart - ogsa,23,18,16,22,15
1,3,astart - optimised,16,16,17,16,16
2,3,astart - ogsa,8,6,7,7,6
2,3,astart - optimised,7,7,8,7,7
0,3,demands,20,600,75,11,700
0,3,durations,4,2,4,6,2
0,3,preferred_starts,62,121,106,26,133
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,0,0,0,0,0
0,3,predecessors,0,-1,-1,-1,-1
0,3,successors,2,-1,-1,-1,-1
0,3,prec_delays,40,-1,-1,-1,-1
1,4,astart - ogsa,19,18,15,18,19
1,4,astart - optimised,16,16,20,16,16
2,4,astart - ogsa,6,7,5,6,6
2,4,astart - optimised,3,7,7,7,7
0,4,demands,300,148,90,2100,120
0,4,durations,1,5,4,3,2
0,4,preferred_starts,64,53,131,67,64
0,4,earliest_starts,0,0,0,0,0
0,4,latest_ends,0,0,0,0,0
0,4,predecessors,0,1,-1,-1,-1
0,4,successors,2,4,-1,-1,-1
0,4,prec_delays,52,114,-1,-1,-1
1,5,astart - ogsa,21,15,18,17,15
1,5,astart - optimised,16,16,17,16,21
2,5,astart - ogsa,7,6,5,6,7
2,5,astart - optimised,7,7,8,7,16
0,5,demands,2400,2,75,80,1200
0,5,durations,4,4,5,8,5
0,5,preferred_starts,65,41,21,17,138
0,5,earliest_starts,0,0,0,0,0
0,5,latest_ends,0,0,0,0,0
0,5,predecessors,2,-1,-1,-1,-1
0,5,successors,4,-1,-1,-1,-1
0,5,prec_delays,15,-1,-1,-1,-1
1,6,astart - ogsa,17,15,19,16,18
1,6,astart - optimised,16,16,15,16,20
2,6,astart - ogsa,6,6,6,6,5
2,6,astart - optimised,7,7,2,7,7
0,6,demands,600,100,50,3500,2400
0,6,durations,7,1,2,3,3
0,6,preferred_starts,129,23,52,110,70
0,6,earliest_starts,0,0,0,0,0
0,6,latest_ends,0,0,0,0,0
0,6,predecessors,2,2,-1,-1,-1
0,6,successors,3,4,-1,-1,-1
0,6,prec_delays,35,39,-1,-1,-1
1,7,astart - ogsa,15,17,22,18,15
1,7,astart - optimised,16,16,16,18,18
2,7,astart - ogsa,6,7,7,7,7
2,7,astart - optimised,7,7,4,7,7
0,7,demands,120,2400,3600,72,2400
0,7,durations,5,2,2,2,2
0,7,preferred_starts,1,34,116,114,87
0,7,earliest_starts,0,0,0,0,0
0,7,latest_ends,0,0,0,0,0
0,7,predecessors,0,1,-1,-1,-1
0,7,successors,1,2,-1,-1,-1
0,7,prec_delays,49,62,-1,-1,-1
1,8,astart - ogsa,15,17,18,18,15
1,8,astart - optimised,16,21,23,16,16
2,8,astart - ogsa,6,6,7,7,6
2,8,astart - optimised,2,7,9,7,7
0,8,demands,35,700,1200,30,1000
0,8,durations,4,10,3,3,5
0,8,preferred_starts,3,126,8,108,33
0,8,earliest_starts,0,0,0,0,0
0,8,latest_ends,0,9000,0,0,0
0,8,predecessors,0,2,-1,-1,-1
0,8,successors,2,3,-1,-1,-1
0,8,prec_delays,78,102,-1,-1,-1
1,9,astart - ogsa,16,126,18,18,18
1,9,astart - optimised,15,127,19,22,16
2,9,astart - ogsa,6,126,7,7,6
2,9,astart - optimised,3,127,7,16,7
0,9,demands,1200,350,50,75,6000
0,9,durations,1,5,8,1,2
0,9,preferred_starts,84,84,68,116,21
0,9,earliest_starts,0,0,0,0,0
0,9,latest_ends,9000,0,0,0,0
0,9,predecessors,-1,-1,-1,-1,-1
0,9,successors,-1,-1,-1,-1,-1
0,9,prec_delays,-1,-1,-1,-1,-1
1,10,astart - ogsa,80,15,16,19,22
1,10,astart - optimised,81,16,16,16,16
2,10,astart - ogsa,84,6,6,8,7
2,10,astart - optimised,85,7,7,7,7
0,10,demands,50,2300,5,300,2
0,10,durations,4,4,4,1,5
0,10,preferred_starts,99,67,86,120,36
0,10,earliest_starts,0,0,0,0,0
0,10,latest_ends,0,0,0,0,0
0,10,predecessors,-1,-1,-1,-1,-1
0,10,successors,-1,-1,-1,-1,-1
0,10,prec_delays,-1,-1,-1,-1,-1
1,11,astart - ogsa,16,19,17,21,19
1,11,astart - optimised,16,16,16,16,16
2,11,astart - ogsa,6,6,6,8,6
2,11,astart - optimised,7,7,7,7,7
0,11,demands,68,300,2400,90,3600
0,11,durations,6,1,4,1,6
0,11,preferred_starts,108,138,26,140,61
0,11,earliest_starts,0,0,0,0,0
0,11,latest_ends,0,0,0,0,0
0,11,predecessors,2,-1,-1,-1,-1
0,11,successors,4,-1,-1,-1,-1
0,11,prec_delays,96,-1,-1,-1,-1
1,12,astart - ogsa,15,22,18,18,18
1,12,astart - optimised,16,16,15,16,19
2,12,astart - ogsa,6,6,6,8,5
2,12,astart - optimised,7,7,7,7,16
0,12,demands,5,2400,1100,1700,1100
0,12,durations,2,1,4,6,8
0,12,preferred_starts,23,115,119,29,103
0,12,earliest_starts,0,0,0,0,0
0,12,latest_ends,9000,0,0,0,9000
