Month,House,Limit,OGSA,Optimised,Preferred
1,1,5500,1200,1100,1200
2,1,5500,1200,1100,1200
1,2,11500,2300,2300,2300
2,2,11500,2300,2300,2300
1,3,18000,3600,3600,3600
2,3,18000,3600,3600,3600
1,4,12000,3600,3600,2400
2,4,12000,2411,2411,2400
1,5,18000,3600,3600,3600
2,5,18000,3600,3600,3600
1,6,30000,14200,14200,6000
2,6,30000,14200,14200,6000
1,7,30000,8400,8400,6000
2,7,30000,6000,6000,6000
1,8,6000,1200,1200,1200
2,8,6000,1200,1200,1200
1,9,8500,1700,1700,1700
2,9,8500,1700,1700,1700
1,10,5000,1000,1000,1000
2,10,5000,1000,1000,1000
1,11,30000,9030,9030,6000
2,11,30000,8930,7830,6000
1,12,6000,1200,1200,1200
2,12,6000,1200,1200,1200
1,13,3250,650,750,650
2,13,3250,650,650,650
1,14,6000,1200,1200,1200
2,14,6000,1200,1200,1200
1,15,5500,1100,1100,1100
2,15,5500,1100,1100,1100
1,16,20000,6100,6100,4000
2,16,20000,4000,4062,4000
1,17,17500,3500,3500,3500
2,17,17500,3500,3500,3500
1,18,12000,2400,3600,2400
2,18,12000,3600,3600,2400
1,19,10000,2000,2000,2000
2,19,10000,3200,2000,2000
1,20,20000,4000,4000,4000
2,20,20000,5200,4000,4000
1,21,12000,2400,2400,2400
2,21,12000,2400,2400,2400
1,22,11000,3400,4400,3400
2,22,11000,3200,3200,3400
1,23,12000,2500,2500,2400
2,23,12000,3300,3300,2400
1,24,30000,6000,6000,6060
2,24,30000,6000,6000,6060
1,25,8500,1700,1700,1700
2,25,8500,1700,1700,1700
1,26,6000,1200,1200,2200
2,26,6000,1200,1200,2200
1,27,12000,2400,2400,2400
2,27,12000,2400,2400,2400
1,28,12000,2408,2400,2400
2,28,12000,3100,2400,2400
1,29,12000,2400,2400,2400
2,29,12000,2400,2548,2400
1,30,18000,3600,3600,3600
2,30,18000,3600,3600,3600
1,31,4500,900,900,900
2,31,4500,900,900,900
1,32,18000,3600,3600,3600
2,32,18000,3600,3600,3600
1,33,6000,1200,1200,1200
2,33,6000,1200,1200,1200
1,34,25000,5000,5000,5000
2,34,25000,5000,5000,5000
1,35,17500,3500,3500,3630
2,35,17500,3500,3500,3630
1,36,4500,900,900,900
2,36,4500,900,900,900
1,37,8500,1700,1700,1700
2,37,8500,1700,1700,1700
1,38,12000,2400,2400,2400
2,38,12000,2400,2400,2400
1,39,30000,6072,6000,6000
2,39,30000,6072,6000,6000
1,40,12000,2400,2400,2400
2,40,12000,2400,2400,2400
1,41,10000,2000,2000,2000
2,41,10000,2400,2000,2000
1,42,12000,4810,2410,2400
2,42,12000,4800,4800,2400
1,43,10000,3020,2020,3000
2,43,10000,4592,3000,3000
1,44,5000,1000,1000,1150
2,44,5000,1000,1000,1150
1,45,10000,2000,2000,2000
2,45,10000,2000,2000,2000
1,46,12000,2400,2400,2400
2,46,12000,2400,2400,2400
1,47,12000,2750,2520,2520
2,47,12000,2750,2400,2520
1,48,5000,1000,1000,1000
2,48,5000,1000,1000,1000
1,49,25000,6000,6000,5000
2,49,25000,5000,5000,5000
1,50,5000,1000,1000,1000
2,50,5000,1000,1000,1000
