Month,House,Gecode,Gurobi,Limit,OGSA,Preferred
1,1,1700,1700,8500,1700,1700
2,1,1700,1700,8500,1700,1700
1,2,2400,2400,12000,2400,2400
2,2,2400,2400,12000,2400,2400
1,3,6400,6400,20000,6400,4000
2,3,4000,4000,20000,4000,4000
1,4,2400,2400,12000,2400,2400
2,4,2400,2400,12000,2400,2400
1,5,2700,2700,12000,2700,2700
2,5,2700,2700,12000,2700,2700
1,6,400,400,2000,400,400
2,6,400,400,2000,400,400
1,7,6100,6100,25000,6100,7400
2,7,5000,5000,25000,5000,7400
1,8,6000,6000,30000,6000,6000
2,8,6000,6000,30000,6000,6000
1,9,3600,5600,18000,3600,3600
2,9,5600,5600,18000,5615,3600
1,10,1248,1248,5500,1248,1100
2,10,1100,1100,5500,1100,1100
1,11,5000,5000,25000,5000,5000
2,11,5000,5000,25000,5000,5000
1,12,3500,3500,12000,3500,3500
2,12,3500,3500,12000,3500,3500
1,13,2400,2400,12000,2400,2400
2,13,2400,2400,12000,2400,2400
1,14,4000,4000,20000,4000,4000
2,14,6400,6400,20000,6400,4000
1,15,2400,2400,12000,2400,2400
2,15,3400,3400,12000,3400,2400
1,16,3600,3600,18000,3600,3600
2,16,4800,4800,18000,4800,3600
1,17,2700,2700,7500,2700,1500
2,17,1500,1500,7500,1500,1500
1,18,1200,1200,6000,1200,1200
2,18,1200,1200,6000,1200,1200
1,19,1000,1000,5000,1000,1000
2,19,1000,1000,5000,1000,1000
1,20,550,550,2750,550,650
2,20,550,550,2750,550,650
1,21,1200,1200,6000,1200,1200
2,21,1200,1200,6000,1200,1200
1,22,1200,1200,6000,1200,1800
2,22,1200,1200,6000,1200,1800
1,23,2475,2475,12000,2400,2400
2,23,2475,2475,12000,2475,2400
1,24,2950,2950,12000,2950,2950
2,24,2400,2400,12000,2400,2950
1,25,1330,1330,6000,1330,1200
2,25,1200,1200,6000,1200,1200
1,26,4000,4000,20000,4000,4000
2,26,4000,4000,20000,4000,4000
1,27,6100,6100,25000,6200,5000
2,27,5000,5000,25000,5000,5000
1,28,900,1020,4500,1020,1020
2,28,1020,1020,4500,1020,1020
1,29,6000,6000,30000,6000,6000
2,29,6000,6000,30000,6000,6000
1,30,2400,2400,12000,2400,2400
2,30,2400,2400,12000,2400,2400
1,31,900,900,4500,1040,900
2,31,900,900,4500,900,900
1,32,3600,3600,18000,3600,3600
2,32,3600,3600,18000,3600,3600
1,33,3400,3400,12000,3400,3400
2,33,3400,3400,12000,3400,3400
1,34,2000,2000,10000,2000,2000
2,34,2000,2000,10000,2000,2000
1,35,5700,5700,17500,3500,3500
2,35,5700,5700,17500,3500,3500
1,36,1200,1200,6000,1200,1200
2,36,1200,1200,6000,1200,1200
1,37,1200,1200,6000,1200,1200
2,37,1200,1200,6000,1200,1200
1,38,140,140,700,140,140
2,38,140,140,700,140,140
1,39,1200,1200,6000,1200,1200
2,39,1750,1750,6000,1200,1200
1,40,2400,2400,12000,2400,2400
2,40,2400,2400,12000,2400,2400
1,41,4000,4000,20000,4000,4000
2,41,4000,4000,20000,4000,4000
1,42,3200,3200,10000,3200,3200
2,42,3200,3200,10000,3200,3200
1,43,2000,2000,10000,2000,2000
2,43,2000,2000,10000,2000,2000
1,44,6000,6000,30000,6000,6000
2,44,6000,6000,30000,6000,6000
1,45,1200,1200,6000,1300,1200
2,45,1200,1200,6000,1200,1200
1,46,2400,2400,6000,2400,1200
2,46,2400,2400,6000,2400,1200
1,47,4000,4000,20000,4000,4100
2,47,4000,4000,20000,4000,4100
1,48,2400,1200,6000,1800,1800
2,48,2400,2400,6000,2400,1800
1,49,3600,3600,12000,3600,2540
2,49,2400,2400,12000,2400,2540
1,50,1200,1200,6000,1200,1200
2,50,1200,1200,6000,1200,1200
