,,,,,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,
1,1,anti_first_fail,indomain_min,obj,389270.0,389270.0,389270.0,1028190.0,1.0
1,1,anti_first_fail,indomain_min,time,50.0,80.0,0.00019160006195306778,,3.8320012390613555e-06
1,2,anti_first_fail,indomain_min,obj,3812096.0,3812096.0,3865896.0,5996796.0,1.0141129709220333
1,2,anti_first_fail,indomain_min,time,70.0,90.0,0.0001858249306678772,,2.65464186668396e-06
1,3,anti_first_fail,indomain_min,obj,1750100.0,1750100.0,1750100.0,1827020.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,80.0,0.0002057130914181471,,3.4285515236357847e-06
1,4,anti_first_fail,indomain_min,obj,295048.0,295048.0,295048.0,1601848.0,1.0
1,4,anti_first_fail,indomain_min,time,50.0,70.0,0.00016696308739483356,,3.3392617478966714e-06
1,5,anti_first_fail,indomain_min,obj,683404.0,683404.0,688372.0,614752.0,1.0072694921305698
1,5,anti_first_fail,indomain_min,time,60.0,90.0,0.00018514087423682213,,3.0856812372803687e-06
1,6,anti_first_fail,indomain_min,obj,128366.0,128366.0,128366.0,81462.0,1.0
1,6,anti_first_fail,indomain_min,time,50.0,80.0,0.0001802230253815651,,3.604460507631302e-06
1,7,anti_first_fail,indomain_min,obj,4439400.0,4439400.0,4439400.0,13473100.0,1.0
1,7,anti_first_fail,indomain_min,time,60.0,80.0,0.00019017490558326244,,3.1695817597210407e-06
1,8,anti_first_fail,indomain_min,obj,2974610.0,2974610.0,3176210.0,7506110.0,1.0677735904874925
1,8,anti_first_fail,indomain_min,time,50.0,90.0,0.00016984599642455578,,3.3969199284911155e-06
1,9,anti_first_fail,indomain_min,obj,1458090.0,1458090.0,1898050.0,1559890.0,1.3017372041506354
1,9,anti_first_fail,indomain_min,time,50.0,80.0,0.00019562197849154472,,3.912439569830894e-06
1,10,anti_first_fail,indomain_min,obj,711184.0,711184.0,711184.0,924536.0,1.0
