,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Result,,,,,,,
1,1,anti_first_fail,indomain_min,obj,855936.0,855936.0,855936.0,855936.0,855936.0,1163656.0,1.0
1,1,anti_first_fail,indomain_min,time,70.0,100.0,60.0,70.0,0.00016259797848761082,,2.709966308126847e-06
1,2,anti_first_fail,indomain_min,obj,2631325.0,2631325.0,2631325.0,2631325.0,2752625.0,8579825.0,1.0460984485002802
1,2,anti_first_fail,indomain_min,time,60.0,140.0,60.0,90.0,0.00018163607455790043,,3.0272679092983404e-06
1,3,anti_first_fail,indomain_min,obj,821612.0,821612.0,821612.0,821612.0,821612.0,1920188.0,1.0
1,3,anti_first_fail,indomain_min,time,60.0,110.0,60.0,80.0,0.00018932600505650043,,3.1554334176083406e-06
1,4,anti_first_fail,indomain_min,obj,495300.0,495300.0,495300.0,495300.0,495300.0,875300.0,1.0
1,4,anti_first_fail,indomain_min,time,60.0,90.0,60.0,70.0,0.00016924086958169937,,2.8206811596949896e-06
1,5,anti_first_fail,indomain_min,obj,217699.0,217699.0,217699.0,217699.0,218517.0,217156.0,1.0037574816604578
1,5,anti_first_fail,indomain_min,time,80.0,140.0,80.0,100.0,0.000218487111851573,,2.7310888981446624e-06
1,6,anti_first_fail,indomain_min,obj,647683.0,615841.0,647683.0,647683.0,647683.0,938421.0,1.0
1,6,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00017298711463809013,,2.883118577301502e-06
1,7,anti_first_fail,indomain_min,obj,1850035.0,1850035.0,1850035.0,1850035.0,1850035.0,2114695.0,1.0
1,7,anti_first_fail,indomain_min,time,70.0,100.0,50.0,80.0,0.00018700305372476578,,3.7400610744953157e-06
1,8,anti_first_fail,indomain_min,obj,822129.0,822129.0,822129.0,822129.0,822129.0,906174.0,1.0
1,8,anti_first_fail,indomain_min,time,60.0,100.0,50.0,80.0,0.0001801750622689724,,3.603501245379448e-06
1,9,anti_first_fail,indomain_min,obj,2286018.0,2286018.0,2286018.0,2286018.0,2286018.0,5744418.0,1.0
1,9,anti_first_fail,indomain_min,time,60.0,100.0,50.0,70.0,0.0001923560630530119,,3.8471212610602375e-06
1,10,anti_first_fail,indomain_min,obj,1472624.0,1472624.0,1472624.0,1472624.0,1740224.0,1274024.0,1.181716446289073
1,10,anti_first_fail,indomain_min,time,60.0,110.0,50.0,80.0,0.0001843031495809555,,3.68606299161911e-06
1,11,anti_first_fail,indomain_min,obj,621820.0,621820.0,621820.0,621820.0,621820.0,639420.0,1.0
1,11,anti_first_fail,indomain_min,time,60.0,110.0,60.0,80.0,0.00017688889056444168,,2.948148176074028e-06
1,12,anti_first_fail,indomain_min,obj,314330.0,314330.0,314330.0,314330.0,314330.0,457650.0,1.0
1,12,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00019563501700758934,,3.2605836167931558e-06
1,13,anti_first_fail,indomain_min,obj,1808040.0,1808040.0,1808040.0,1808040.0,1883880.0,2698080.0,1.0419459746465787
1,13,anti_first_fail,indomain_min,time,60.0,110.0,50.0,80.0,0.0003907510545104742,,7.815021090209485e-06
1,14,anti_first_fail,indomain_min,obj,568896.0,568896.0,568896.0,568896.0,568896.0,1693696.0,1.0
1,14,anti_first_fail,indomain_min,time,70.0,100.0,50.0,80.0,0.0001926659606397152,,3.853319212794304e-06
1,15,anti_first_fail,indomain_min,obj,755237.0,755237.0,755237.0,755237.0,757052.0,880692.0,1.0024032191219445
1,15,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00018288497813045979,,3.0480829688409963e-06
1,16,anti_first_fail,indomain_min,obj,429754.0,429754.0,429754.0,429754.0,429754.0,579229.0,1.0
1,16,anti_first_fail,indomain_min,time,60.0,100.0,60.0,80.0,0.00020098802633583546,,3.349800438930591e-06
1,17,anti_first_fail,indomain_min,obj,568820.0,568820.0,568820.0,568820.0,568820.0,675196.0,1.0
1,17,anti_first_fail,indomain_min,time,70.0,100.0,50.0,80.0,0.00019010016694664955,,3.802003338932991e-06
1,18,anti_first_fail,indomain_min,obj,2654926.0,2654926.0,2654926.0,2654926.0,2715226.0,5856880.0,1.0227124974481399
1,18,anti_first_fail,indomain_min,time,60.0,120.0,50.0,90.0,0.00021076598204672337,,4.215319640934467e-06
1,19,anti_first_fail,indomain_min,obj,577400.0,577400.0,577400.0,577400.0,577400.0,624600.0,1.0
1,19,anti_first_fail,indomain_min,time,60.0,110.0,60.0,70.0,0.00019008014351129532,,3.168002391854922e-06
1,20,anti_first_fail,indomain_min,obj,1523800.0,1523800.0,1523800.0,1523800.0,1523800.0,1459120.0,1.0
1,20,anti_first_fail,indomain_min,time,70.0,130.0,60.0,90.0,0.00018834881484508514,,3.1391469140847523e-06
1,21,anti_first_fail,indomain_min,obj,1235900.0,1235900.0,1235900.0,1235900.0,1258200.0,2514700.0,1.0180435310300187
1,21,anti_first_fail,indomain_min,time,70.0,140.0,60.0,90.0,0.00017039896920323372,,2.8399828200538953e-06
1,22,anti_first_fail,indomain_min,obj,1570964.0,1570964.0,1570964.0,1570964.0,1570964.0,2532164.0,1.0
1,22,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.0001870498526841402,,3.11749754473567e-06
1,23,anti_first_fail,indomain_min,obj,1088029.0,857287.0,1088029.0,1088029.0,1145841.0,1543549.0,1.053134613139907
1,23,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.00019274395890533924,,3.2123993150889873e-06
1,24,anti_first_fail,indomain_min,obj,1719640.0,1719640.0,1719640.0,1719640.0,1719640.0,1989240.0,1.0
1,24,anti_first_fail,indomain_min,time,60.0,120.0,60.0,70.0,0.0001895311288535595,,3.1588521475593248e-06
1,25,anti_first_fail,indomain_min,obj,1297841.0,1297841.0,1297841.0,1297841.0,1306821.0,1326341.0,1.006919183474709
1,25,anti_first_fail,indomain_min,time,70.0,110.0,60.0,90.0,0.0002198650036007166,,3.6644167266786097e-06
1,26,anti_first_fail,indomain_min,obj,2049193.0,2049193.0,2049193.0,2049193.0,2049193.0,2072413.0,1.0
1,26,anti_first_fail,indomain_min,time,60.0,90.0,60.0,80.0,0.0001675721723586321,,2.7928695393105347e-06
1,27,anti_first_fail,indomain_min,obj,949946.0,949946.0,949946.0,949946.0,953338.0,2247090.0,1.0035707292835592
1,27,anti_first_fail,indomain_min,time,60.0,130.0,60.0,110.0,0.0001976520288735628,,3.294200481226047e-06
1,28,anti_first_fail,indomain_min,obj,1473956.0,1473956.0,1473956.0,1473956.0,1473956.0,2975336.0,1.0
1,28,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.00020477292127907276,,3.4128820213178795e-06
1,29,anti_first_fail,indomain_min,obj,1386080.0,1386080.0,1386080.0,1386080.0,1386080.0,1531880.0,1.0
1,29,anti_first_fail,indomain_min,time,60.0,110.0,60.0,100.0,0.0001879129558801651,,3.131882598002752e-06
1,30,anti_first_fail,indomain_min,obj,1649780.0,1649780.0,1649780.0,1649780.0,1703080.0,1593480.0,1.03230733794809
1,30,anti_first_fail,indomain_min,time,70.0,130.0,60.0,120.0,0.00020929891616106033,,3.4883152693510057e-06
1,31,anti_first_fail,indomain_min,obj,1020750.0,1020750.0,1020750.0,1020750.0,1068450.0,5233250.0,1.046730345334313
1,31,anti_first_fail,indomain_min,time,60.0,140.0,60.0,100.0,0.00021534692496061325,,3.589115416010221e-06
1,32,anti_first_fail,indomain_min,obj,884054.0,884054.0,884054.0,884054.0,884054.0,994754.0,1.0
1,32,anti_first_fail,indomain_min,time,60.0,110.0,60.0,90.0,0.00018028286285698414,,3.0047143809497356e-06
1,33,anti_first_fail,indomain_min,obj,393840.0,393840.0,393840.0,393840.0,393840.0,436740.0,1.0
