,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weights,,,,,
1,1,anti_first_fail,indomain_min,0,405275,405275,405275,1031778,1.0
1,1,anti_first_fail,indomain_min,200,535478,535478,535478,1031778,1.0
1,1,anti_first_fail,indomain_min,400,617678,617678,617678,1031778,1.0
1,1,anti_first_fail,indomain_min,600,630678,630678,630678,1031778,1.0
1,1,anti_first_fail,indomain_min,800,640278,640278,640278,1031778,1.0
1,1,anti_first_fail,indomain_min,1000,645678,645678,645678,1031778,1.0
1,2,anti_first_fail,indomain_min,0,1828125,1828125,1828125,1937430,1.0
1,2,anti_first_fail,indomain_min,200,1858030,1858030,1858030,1937430,1.0
1,2,anti_first_fail,indomain_min,400,1872630,1872630,1872630,1937430,1.0
1,2,anti_first_fail,indomain_min,600,1878630,1878630,1878630,1937430,1.0
1,2,anti_first_fail,indomain_min,800,1881430,1881430,1881430,1937430,1.0
1,2,anti_first_fail,indomain_min,1000,1883030,1883030,1883030,1937430,1.0
1,3,anti_first_fail,indomain_min,0,811922,811922,811922,1189212,1.0
1,3,anti_first_fail,indomain_min,200,1002512,1002512,1002512,1189212,1.0
1,3,anti_first_fail,indomain_min,400,1030812,1030812,1030812,1189212,1.0
1,3,anti_first_fail,indomain_min,600,1052412,1052412,1052412,1189212,1.0
1,3,anti_first_fail,indomain_min,800,1074012,1074012,1074012,1189212,1.0
1,3,anti_first_fail,indomain_min,1000,1095612,1095612,1095612,1189212,1.0
1,4,anti_first_fail,indomain_min,0,2002650,2002650,2007450,2428640,1.0023968242079244
1,4,anti_first_fail,indomain_min,200,2198250,2198250,2246290,2428640,1.021853747298988
1,4,anti_first_fail,indomain_min,400,2308390,2308390,2312440,2428640,1.0017544695653682
1,4,anti_first_fail,indomain_min,600,2314840,2314840,2314840,2428640,1.0
1,4,anti_first_fail,indomain_min,800,2317240,2317240,2317240,2428640,1.0
1,4,anti_first_fail,indomain_min,1000,2319640,2319640,2319640,2428640,1.0
1,5,anti_first_fail,indomain_min,0,1274845,1274845,1346845,6409703,1.0564774541218735
1,5,anti_first_fail,indomain_min,200,1350359,1350359,1425619,6409703,1.0557333272115046
1,5,anti_first_fail,indomain_min,400,1409743,1409743,1476203,6409703,1.0471433445670595
