,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Preferred,Objective Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,,,
1,1,anti_first_fail,indomain_min,0,1108725,1108725,1108725,1108725,1115025,5295335,1.005682202529933
1,1,anti_first_fail,indomain_min,50,1152135,1152135,1152135,1152135,1178735,5295335,1.0230875722029102
1,1,anti_first_fail,indomain_min,500,1445135,1445135,1445135,1445135,1492635,5295335,1.032868901521311
1,1,anti_first_fail,indomain_min,1000,1619535,1619535,1619535,1619535,1620035,5295335,1.0003087305924232
1,2,anti_first_fail,indomain_min,0,567785,567785,567785,567785,596575,798910,1.050705812939757
1,2,anti_first_fail,indomain_min,50,600145,600145,600145,600145,628435,798910,1.0471386081696923
1,2,anti_first_fail,indomain_min,500,627095,627095,627095,627095,882435,798910,1.4071791355376777
1,2,anti_first_fail,indomain_min,1000,640095,640095,640095,640095,1185660,798910,1.8523187964286552
1,3,anti_first_fail,indomain_min,0,790270,790270,790270,790270,799070,1182922,1.011135434724841
1,3,anti_first_fail,indomain_min,50,816392,816392,816392,816392,982892,1182922,1.2039461435192897
1,3,anti_first_fail,indomain_min,500,939042,939042,939042,939042,990542,1182922,1.054843127357456
1,3,anti_first_fail,indomain_min,1000,995042,995042,995042,995042,995042,1182922,1.0
2,1,anti_first_fail,indomain_min,0,933290,933290,933290,933290,933290,2934040,1.0
2,1,anti_first_fail,indomain_min,50,982840,982840,982840,982840,982840,2934040,1.0
2,1,anti_first_fail,indomain_min,500,1328840,1328840,1328840,1328840,1328840,2934040,1.0
2,1,anti_first_fail,indomain_min,1000,1534540,1534540,1534540,1534540,1534540,2934040,1.0
2,2,anti_first_fail,indomain_min,0,499220,499220,499220,499220,506085,793985,1.0137514522655342
2,2,anti_first_fail,indomain_min,50,548675,548675,548675,548675,583725,793985,1.0638811682690117
2,2,anti_first_fail,indomain_min,500,580175,580175,580175,580175,879375,793985,1.5157064678760719
2,2,anti_first_fail,indomain_min,1000,596755,596755,596755,596755,1195375,793985,2.003125235649471
2,3,anti_first_fail,indomain_min,0,680744,680744,680744,680744,717984,1126398,1.0547048523380302
2,3,anti_first_fail,indomain_min,50,713078,713078,713078,713078,1078778,1126398,1.5128471219137318
2,3,anti_first_fail,indomain_min,500,854978,854978,854978,854978,954798,1126398,1.116751542144944
2,3,anti_first_fail,indomain_min,1000,954798,954798,954798,954798,954798,1126398,1.0
