,Weight,Type,Model,Solver,Time (ms)
0,0,max,Initial,Gecode,80.0
1,0,max,Initial,Gurobi,110.0
2,0,max,Modified,Gecode,70.0
3,0,max,Modified,Gurobi,100.0
4,0,max,Modified,OGSA,0.00020772870630025864
5,0,mean,Initial,Gecode,71.66666666666667
6,0,mean,Initial,Gurobi,98.33333333333333
7,0,mean,Modified,Gecode,63.333333333333336
8,0,mean,Modified,Gurobi,83.33333333333333
9,0,mean,Modified,OGSA,0.0001880173416187366
10,0,min,Initial,Gecode,70.0
11,0,min,Initial,Gurobi,90.0
12,0,min,Modified,Gecode,60.0
13,0,min,Modified,Gurobi,70.0
14,0,min,Modified,OGSA,0.00016405014321208
15,1000,max,Initial,Gecode,70.0
16,1000,max,Initial,Gurobi,120.0
17,1000,max,Modified,Gecode,70.0
18,1000,max,Modified,Gurobi,90.0
19,1000,max,Modified,OGSA,0.0003244252875447273
20,1000,mean,Initial,Gecode,70.0
21,1000,mean,Initial,Gurobi,105.0
22,1000,mean,Modified,Gecode,66.66666666666667
23,1000,mean,Modified,Gurobi,80.0
24,1000,mean,Modified,OGSA,0.00021611968986690044
25,1000,min,Initial,Gecode,70.0
26,1000,min,Initial,Gurobi,90.0
27,1000,min,Modified,Gecode,60.0
28,1000,min,Modified,Gurobi,70.0
29,1000,min,Modified,OGSA,0.00019113114103674889
