,,,,,Gecode,Gurobi,Gecode,Gurobi,OGSA,Solver Run Time Ratio,Solver Run Time Ratio,Model Run Time Ratio,Model Run Time Ratio
,,,,,Initial,Initial,Modified,Modified,Modified,Initial,Modified,Gurobi,Gecode
Month,House,Variable choices,Constraint variables,Weight,,,,,,,,,
1,1,anti_first_fail,indomain_min,0,70.0,100.0,70.0,80.0,0.00017397291958332062,1.4285714285714286,1.1428571428571428,1.25,1.0
1,1,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.00019797217100858688,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
1,2,anti_first_fail,indomain_min,0,70.0,110.0,60.0,90.0,0.00020980928093194962,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
1,2,anti_first_fail,indomain_min,1000,70.0,110.0,70.0,90.0,0.00022854795679450035,1.5714285714285714,1.2857142857142858,1.2222222222222223,1.0
1,3,anti_first_fail,indomain_min,0,70.0,100.0,60.0,90.0,0.00018335925415158272,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
1,3,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,90.0,0.00024384306743741035,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
2,1,anti_first_fail,indomain_min,0,70.0,100.0,60.0,80.0,0.00020512426272034645,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,1,anti_first_fail,indomain_min,1000,70.0,100.0,60.0,80.0,0.00020004576072096825,1.4285714285714286,1.3333333333333333,1.25,1.1666666666666667
2,2,anti_first_fail,indomain_min,0,70.0,110.0,60.0,90.0,0.00023115985095500946,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
2,2,anti_first_fail,indomain_min,1000,70.0,110.0,60.0,90.0,0.00022177305072546005,1.5714285714285714,1.5,1.2222222222222223,1.1666666666666667
2,3,anti_first_fail,indomain_min,0,70.0,100.0,60.0,90.0,0.0002021188847720623,1.4285714285714286,1.5,1.1111111111111112,1.1666666666666667
2,3,anti_first_fail,indomain_min,1000,70.0,100.0,70.0,90.0,0.00020040106028318405,1.4285714285714286,1.2857142857142858,1.1111111111111112,1.0
