Month,House,Attribute,0,1,2,3,4
0,1,demands,55,100,5000,2200,3500
0,1,durations,4,1,4,8,3
0,1,earliest_starts,0,0,0,0,0
0,1,latest_ends,143,143,143,143,143
0,1,care_factors,10000,8000,0,3000,3000
0,1,predecessors,0,-1,-1,-1,-1
0,1,successors,1,-1,-1,-1,-1
0,1,prec_delays,112,-1,-1,-1,-1
0,1,preferred_starts,24,50,108,33,63
1,1,astart - ogsa,24,50,17,16,21
1,1,astart - Gecode,24,50,15,16,21
1,1,astart - Gurobi,24,50,15,16,21
2,1,astart - ogsa,24,50,6,6,6
2,1,astart - Gecode,24,50,6,6,6
2,1,astart - Gurobi,24,50,6,6,6
0,2,demands,1200,3500,1500,1200,8
0,2,durations,5,1,2,4,3
0,2,earliest_starts,0,0,0,0,0
0,2,latest_ends,143,143,143,143,143
0,2,care_factors,4000,8000,5000,4000,4000
0,2,predecessors,-1,-1,-1,-1,-1
0,2,successors,-1,-1,-1,-1,-1
0,2,prec_delays,-1,-1,-1,-1,-1
0,2,preferred_starts,70,53,106,41,85
1,2,astart - ogsa,19,54,108,20,85
1,2,astart - Gecode,19,54,108,20,85
1,2,astart - Gurobi,19,54,108,20,85
2,2,astart - ogsa,70,53,106,20,85
2,2,astart - Gecode,70,53,106,20,85
2,2,astart - Gurobi,70,53,106,20,85
0,3,demands,3500,1200,2,2400,1200
0,3,durations,5,4,4,6,5
0,3,earliest_starts,0,0,0,0,0
0,3,latest_ends,143,143,143,143,143
0,3,care_factors,8000,3000,8000,4000,0
0,3,predecessors,1,2,-1,-1,-1
0,3,successors,2,3,-1,-1,-1
0,3,prec_delays,77,66,-1,-1,-1
0,3,preferred_starts,94,38,42,125,123
1,3,astart - ogsa,127,20,42,112,17
1,3,astart - Gecode,127,20,56,126,15
1,3,astart - Gurobi,127,20,56,126,19
2,3,astart - ogsa,19,20,42,112,6
2,3,astart - Gecode,19,20,56,126,6
2,3,astart - Gurobi,19,20,56,126,6
